area,time_start,time_end,date,hour,price,currency,unit
SE1,2026-02-02 02:30:00+01:00,2026-02-02 02:45:00+01:00,2026-02-02,2.0,0.75362,SEK,SEK/kWh
SE1,2026-02-02 02:45:00+01:00,2026-02-02 03:00:00+01:00,2026-02-02,2.0,0.75023,SEK,SEK/kWh
SE1,2026-02-02 03:00:00+01:00,2026-02-02 03:15:00+01:00,2026-02-02,3.0,0.71881,SEK,SEK/kWh
SE1,2026-02-02 03:15:00+01:00,2026-02-02 03:30:00+01:00,2026-02-02,3.0,0.7424,SEK,SEK/kWh
SE1,2026-02-02 03:30:00+01:00,2026-02-02 03:45:00+01:00,2026-02-02,3.0,0.74854,SEK,SEK/kWh
SE1,2026-02-02 03:45:00+01:00,2026-02-02 04:00:00+01:00,2026-02-02,3.0,0.74621,SEK,SEK/kWh
SE1,2026-02-02 04:00:00+01:00,2026-02-02 04:15:00+01:00,2026-02-02,4.0,0.63068,SEK,SEK/kWh
SE1,2026-02-02 04:15:00+01:00,2026-02-02 04:30:00+01:00,2026-02-02,4.0,0.63967,SEK,SEK/kWh
SE1,2026-02-02 04:30:00+01:00,2026-02-02 04:45:00+01:00,2026-02-02,4.0,0.746,SEK,SEK/kWh
SE1,2026-02-02 04:45:00+01:00,2026-02-02 05:00:00+01:00,2026-02-02,4.0,0.80948,SEK,SEK/kWh
SE1,2026-02-02 05:00:00+01:00,2026-02-02 05:15:00+01:00,2026-02-02,5.0,0.56487,SEK,SEK/kWh
SE1,2026-02-02 05:15:00+01:00,2026-02-02 05:30:00+01:00,2026-02-02,5.0,0.73733,SEK,SEK/kWh
SE1,2026-02-02 05:30:00+01:00,2026-02-02 05:45:00+01:00,2026-02-02,5.0,0.80578,SEK,SEK/kWh
SE1,2026-02-02 05:45:00+01:00,2026-02-02 06:00:00+01:00,2026-02-02,5.0,0.82609,SEK,SEK/kWh
SE1,2026-02-02 06:00:00+01:00,2026-02-02 06:15:00+01:00,2026-02-02,6.0,0.58508,SEK,SEK/kWh
SE1,2026-02-02 06:15:00+01:00,2026-02-02 06:30:00+01:00,2026-02-02,6.0,0.74568,SEK,SEK/kWh
SE1,2026-02-02 06:30:00+01:00,2026-02-02 06:45:00+01:00,2026-02-02,6.0,0.71236,SEK,SEK/kWh
SE1,2026-02-02 06:45:00+01:00,2026-02-02 07:00:00+01:00,2026-02-02,6.0,0.75838,SEK,SEK/kWh
SE1,2026-02-02 07:00:00+01:00,2026-02-02 07:15:00+01:00,2026-02-02,7.0,0.94247,SEK,SEK/kWh
SE1,2026-02-02 07:15:00+01:00,2026-02-02 07:30:00+01:00,2026-02-02,7.0,0.96755,SEK,SEK/kWh
SE1,2026-02-02 07:30:00+01:00,2026-02-02 07:45:00+01:00,2026-02-02,7.0,0.96215,SEK,SEK/kWh
SE1,2026-02-02 07:45:00+01:00,2026-02-02 08:00:00+01:00,2026-02-02,7.0,0.9886,SEK,SEK/kWh
SE1,2026-02-02 08:00:00+01:00,2026-02-02 08:15:00+01:00,2026-02-02,8.0,0.98014,SEK,SEK/kWh
SE1,2026-02-02 08:15:00+01:00,2026-02-02 08:30:00+01:00,2026-02-02,8.0,0.96681,SEK,SEK/kWh
SE1,2026-02-02 08:30:00+01:00,2026-02-02 08:45:00+01:00,2026-02-02,8.0,0.9667,SEK,SEK/kWh
SE1,2026-02-02 08:45:00+01:00,2026-02-02 09:00:00+01:00,2026-02-02,8.0,0.95655,SEK,SEK/kWh
SE1,2026-02-02 09:00:00+01:00,2026-02-02 09:15:00+01:00,2026-02-02,9.0,0.94057,SEK,SEK/kWh
SE1,2026-02-02 09:15:00+01:00,2026-02-02 09:30:00+01:00,2026-02-02,9.0,1.0067,SEK,SEK/kWh
SE1,2026-02-02 09:30:00+01:00,2026-02-02 09:45:00+01:00,2026-02-02,9.0,1.02098,SEK,SEK/kWh
SE1,2026-02-02 09:45:00+01:00,2026-02-02 10:00:00+01:00,2026-02-02,9.0,1.03219,SEK,SEK/kWh
SE1,2026-02-02 10:00:00+01:00,2026-02-02 10:15:00+01:00,2026-02-02,10.0,1.03643,SEK,SEK/kWh
SE1,2026-02-02 10:15:00+01:00,2026-02-02 10:30:00+01:00,2026-02-02,10.0,1.06055,SEK,SEK/kWh
SE1,2026-02-02 10:30:00+01:00,2026-02-02 10:45:00+01:00,2026-02-02,10.0,1.11059,SEK,SEK/kWh
SE1,2026-02-02 10:45:00+01:00,2026-02-02 11:00:00+01:00,2026-02-02,10.0,1.08763,SEK,SEK/kWh
SE1,2026-02-02 11:00:00+01:00,2026-02-02 11:15:00+01:00,2026-02-02,11.0,1.03981,SEK,SEK/kWh
SE1,2026-02-02 11:15:00+01:00,2026-02-02 11:30:00+01:00,2026-02-02,11.0,1.07599,SEK,SEK/kWh
SE1,2026-02-02 11:30:00+01:00,2026-02-02 11:45:00+01:00,2026-02-02,11.0,1.05886,SEK,SEK/kWh
SE1,2026-02-02 11:45:00+01:00,2026-02-02 12:00:00+01:00,2026-02-02,11.0,1.05177,SEK,SEK/kWh
SE1,2026-02-02 12:00:00+01:00,2026-02-02 12:15:00+01:00,2026-02-02,12.0,1.11504,SEK,SEK/kWh
SE1,2026-02-02 12:15:00+01:00,2026-02-02 12:30:00+01:00,2026-02-02,12.0,1.06605,SEK,SEK/kWh
SE1,2026-02-02 12:30:00+01:00,2026-02-02 12:45:00+01:00,2026-02-02,12.0,1.10879,SEK,SEK/kWh
SE1,2026-02-02 12:45:00+01:00,2026-02-02 13:00:00+01:00,2026-02-02,12.0,1.08964,SEK,SEK/kWh
SE1,2026-02-02 13:00:00+01:00,2026-02-02 13:15:00+01:00,2026-02-02,13.0,1.08837,SEK,SEK/kWh
SE1,2026-02-02 13:15:00+01:00,2026-02-02 13:30:00+01:00,2026-02-02,13.0,1.07642,SEK,SEK/kWh
SE1,2026-02-02 13:30:00+01:00,2026-02-02 13:45:00+01:00,2026-02-02,13.0,1.06277,SEK,SEK/kWh
SE1,2026-02-02 13:45:00+01:00,2026-02-02 14:00:00+01:00,2026-02-02,13.0,1.06076,SEK,SEK/kWh
SE1,2026-02-02 14:00:00+01:00,2026-02-02 14:15:00+01:00,2026-02-02,14.0,1.03865,SEK,SEK/kWh
SE1,2026-02-02 14:15:00+01:00,2026-02-02 14:30:00+01:00,2026-02-02,14.0,1.05124,SEK,SEK/kWh
SE1,2026-02-02 14:30:00+01:00,2026-02-02 14:45:00+01:00,2026-02-02,14.0,1.07504,SEK,SEK/kWh
SE1,2026-02-02 14:45:00+01:00,2026-02-02 15:00:00+01:00,2026-02-02,14.0,1.09758,SEK,SEK/kWh
SE1,2026-02-02 15:00:00+01:00,2026-02-02 15:15:00+01:00,2026-02-02,15.0,1.03939,SEK,SEK/kWh
SE1,2026-02-02 15:15:00+01:00,2026-02-02 15:30:00+01:00,2026-02-02,15.0,1.08266,SEK,SEK/kWh
SE1,2026-02-02 15:30:00+01:00,2026-02-02 15:45:00+01:00,2026-02-02,15.0,1.09842,SEK,SEK/kWh
SE1,2026-02-02 15:45:00+01:00,2026-02-02 16:00:00+01:00,2026-02-02,15.0,1.12339,SEK,SEK/kWh
SE1,2026-02-02 16:00:00+01:00,2026-02-02 16:15:00+01:00,2026-02-02,16.0,1.08827,SEK,SEK/kWh
SE1,2026-02-02 16:15:00+01:00,2026-02-02 16:30:00+01:00,2026-02-02,16.0,1.12011,SEK,SEK/kWh
SE1,2026-02-02 16:30:00+01:00,2026-02-02 16:45:00+01:00,2026-02-02,16.0,1.13419,SEK,SEK/kWh
SE1,2026-02-02 16:45:00+01:00,2026-02-02 17:00:00+01:00,2026-02-02,16.0,1.09081,SEK,SEK/kWh
SE1,2026-02-02 17:00:00+01:00,2026-02-02 17:15:00+01:00,2026-02-02,17.0,1.13376,SEK,SEK/kWh
SE1,2026-02-02 17:15:00+01:00,2026-02-02 17:30:00+01:00,2026-02-02,17.0,1.08753,SEK,SEK/kWh
SE1,2026-02-02 17:30:00+01:00,2026-02-02 17:45:00+01:00,2026-02-02,17.0,1.06224,SEK,SEK/kWh
SE1,2026-02-02 17:45:00+01:00,2026-02-02 18:00:00+01:00,2026-02-02,17.0,1.08763,SEK,SEK/kWh
SE1,2026-02-02 18:00:00+01:00,2026-02-02 18:15:00+01:00,2026-02-02,18.0,1.07293,SEK,SEK/kWh
SE1,2026-02-02 18:15:00+01:00,2026-02-02 18:30:00+01:00,2026-02-02,18.0,1.04235,SEK,SEK/kWh
SE1,2026-02-02 18:30:00+01:00,2026-02-02 18:45:00+01:00,2026-02-02,18.0,1.05663,SEK,SEK/kWh
SE1,2026-02-02 18:45:00+01:00,2026-02-02 19:00:00+01:00,2026-02-02,18.0,1.04986,SEK,SEK/kWh
SE1,2026-02-02 19:00:00+01:00,2026-02-02 19:15:00+01:00,2026-02-02,19.0,1.10879,SEK,SEK/kWh
SE1,2026-02-02 19:15:00+01:00,2026-02-02 19:30:00+01:00,2026-02-02,19.0,1.10572,SEK,SEK/kWh
SE1,2026-02-02 19:30:00+01:00,2026-02-02 19:45:00+01:00,2026-02-02,19.0,1.10922,SEK,SEK/kWh
SE1,2026-02-02 19:45:00+01:00,2026-02-02 20:00:00+01:00,2026-02-02,19.0,1.04965,SEK,SEK/kWh
SE1,2026-02-02 20:00:00+01:00,2026-02-02 20:15:00+01:00,2026-02-02,20.0,1.02637,SEK,SEK/kWh
SE1,2026-02-02 20:15:00+01:00,2026-02-02 20:30:00+01:00,2026-02-02,20.0,1.04637,SEK,SEK/kWh
SE1,2026-02-02 20:30:00+01:00,2026-02-02 20:45:00+01:00,2026-02-02,20.0,1.02733,SEK,SEK/kWh
SE1,2026-02-02 20:45:00+01:00,2026-02-02 21:00:00+01:00,2026-02-02,20.0,1.01717,SEK,SEK/kWh
SE1,2026-02-02 21:00:00+01:00,2026-02-02 21:15:00+01:00,2026-02-02,21.0,1.05759,SEK,SEK/kWh
SE1,2026-02-02 21:15:00+01:00,2026-02-02 21:30:00+01:00,2026-02-02,21.0,1.03653,SEK,SEK/kWh
SE1,2026-02-02 21:30:00+01:00,2026-02-02 21:45:00+01:00,2026-02-02,21.0,0.99918,SEK,SEK/kWh
SE1,2026-02-02 21:45:00+01:00,2026-02-02 22:00:00+01:00,2026-02-02,21.0,0.96374,SEK,SEK/kWh
SE1,2026-02-02 22:00:00+01:00,2026-02-02 22:15:00+01:00,2026-02-02,22.0,1.03494,SEK,SEK/kWh
SE1,2026-02-02 22:15:00+01:00,2026-02-02 22:30:00+01:00,2026-02-02,22.0,0.99537,SEK,SEK/kWh
SE1,2026-02-02 22:30:00+01:00,2026-02-02 22:45:00+01:00,2026-02-02,22.0,0.98511,SEK,SEK/kWh
SE1,2026-02-02 22:45:00+01:00,2026-02-02 23:00:00+01:00,2026-02-02,22.0,0.9684,SEK,SEK/kWh
SE1,2026-02-02 23:00:00+01:00,2026-02-02 23:15:00+01:00,2026-02-02,23.0,1.01706,SEK,SEK/kWh
SE1,2026-02-02 23:15:00+01:00,2026-02-02 23:30:00+01:00,2026-02-02,23.0,0.96311,SEK,SEK/kWh
SE1,2026-02-02 23:30:00+01:00,2026-02-02 23:45:00+01:00,2026-02-02,23.0,0.94999,SEK,SEK/kWh
SE1,2026-02-02 23:45:00+01:00,2026-02-03 00:00:00+01:00,2026-02-02,23.0,0.89751,SEK,SEK/kWh
SE1,2026-02-03 00:00:00+01:00,2026-02-03 00:15:00+01:00,2026-02-03,0.0,1.05493,SEK,SEK/kWh
SE1,2026-02-03 00:15:00+01:00,2026-02-03 00:30:00+01:00,2026-02-03,0.0,1.0453,SEK,SEK/kWh
SE1,2026-02-03 00:30:00+01:00,2026-02-03 00:45:00+01:00,2026-02-03,0.0,1.03324,SEK,SEK/kWh
SE1,2026-02-03 00:45:00+01:00,2026-02-03 01:00:00+01:00,2026-02-03,0.0,1.01758,SEK,SEK/kWh
SE1,2026-02-03 01:00:00+01:00,2026-02-03 01:15:00+01:00,2026-02-03,1.0,1.0107,SEK,SEK/kWh
SE1,2026-02-03 01:15:00+01:00,2026-02-03 01:30:00+01:00,2026-02-03,1.0,0.99313,SEK,SEK/kWh
SE1,2026-02-03 01:30:00+01:00,2026-02-03 01:45:00+01:00,2026-02-03,1.0,1.01059,SEK,SEK/kWh
SE1,2026-02-03 01:45:00+01:00,2026-02-03 02:00:00+01:00,2026-02-03,1.0,1.00414,SEK,SEK/kWh
SE1,2026-02-03 02:00:00+01:00,2026-02-03 02:15:00+01:00,2026-02-03,2.0,1.01017,SEK,SEK/kWh
SE1,2026-02-03 02:15:00+01:00,2026-02-03 02:30:00+01:00,2026-02-03,2.0,0.99726,SEK,SEK/kWh
SE1,2026-02-03 02:30:00+01:00,2026-02-03 02:45:00+01:00,2026-02-03,2.0,0.98212,SEK,SEK/kWh
SE1,2026-02-03 02:45:00+01:00,2026-02-03 03:00:00+01:00,2026-02-03,2.0,0.96868,SEK,SEK/kWh
SE1,2026-02-03 03:00:00+01:00,2026-02-03 03:15:00+01:00,2026-02-03,3.0,0.99842,SEK,SEK/kWh
SE1,2026-02-03 03:15:00+01:00,2026-02-03 03:30:00+01:00,2026-02-03,3.0,0.98879,SEK,SEK/kWh
SE1,2026-02-03 03:30:00+01:00,2026-02-03 03:45:00+01:00,2026-02-03,3.0,0.9854,SEK,SEK/kWh
SE1,2026-02-03 03:45:00+01:00,2026-02-03 04:00:00+01:00,2026-02-03,3.0,0.97757,SEK,SEK/kWh
SE1,2026-02-03 04:00:00+01:00,2026-02-03 04:15:00+01:00,2026-02-03,4.0,0.9744,SEK,SEK/kWh
SE1,2026-02-03 04:15:00+01:00,2026-02-03 04:30:00+01:00,2026-02-03,4.0,0.97164,SEK,SEK/kWh
SE1,2026-02-03 04:30:00+01:00,2026-02-03 04:45:00+01:00,2026-02-03,4.0,0.98657,SEK,SEK/kWh
